Setting,year,potato_area,first5_sum,last5_sum,growth,std_dev,cagr
Kurdamir district,2002,1455.0,6531.0,4064.1,-2466.9,228.0173200499331,-0.04373529744759275
Ujar district,2002,234.0,1176.0,1696.0,520.0,73.6351045574623,0.028977056188677075
Yevlakh district,2002,112.0,853.0,648.7,-204.29999999999995,182.32310023810692,0.03132596170033364
Zardab district,2002,163.0,845.0,1041.6,196.5999999999999,60.26995069287629,0.02992067203624793
Mil-Mughan economic region,2002,2158.0,11275.0,11218.4,-56.600000000000364,352.88311763265887,0.008468211712182372
Beylagan district,2002,305.0,1323.0,1957.0,634.0,55.693974903751574,0.03891148223995078
Imishli district,2002,592.0,2904.0,642.3000000000001,-2261.7,204.81113246570376,-0.06725359206391779
Saatli district,2002,817.0,4185.0,1691.1,-2493.9,223.35762993784041,-0.021777642351066828
Sabirabad district,2002,444.0,2863.0,6928.0,4065.0,336.06337555780215,0.04122733539776546
Shaki-Zagatala economic region,2002,3582.0,17254.0,19772.8,2518.7999999999993,676.6511144246891,0.019762676217289776
Balakan district,2002,633.0,3038.0,3064.0,26.0,119.92884363751652,0.008000484314280243
Gakh district,2002,282.0,1546.0,1567.3,21.299999999999955,100.32008979594599,0.00839468671141752
Gabala district,2002,710.0,3623.0,2192.0,-1431.0,269.5872012132086,-0.01033414623321438
Oghuz district,2002,226.0,1120.0,1520.0,400.0,58.22588447751056,0.037629829845909235
Shaki district,2002,493.0,2344.0,3444.5,1100.5,151.4076567832971,0.0318972928405703
Zagatala district,2002,1238.0,5583.0,7985.0,2402.0,205.97192717117713,0.03386872630202564
Eastern Zangazur economic,2002,,21.0,279.1,258.1,27.623737660804363,0.08649739941785062
Jabrayil district,2002,,0.0,160.3,160.3,3.450645212268625,
Kalbajar district,2002,,0.0,23.0,23.0,15.556349186104045,
Gubadli district,2002,,21.0,75.0,54.0,23.691104753566144,0.059151001499132105
Lachin district,2002,,0.0,1.0,1.0,1.4142135623730951,
Zangilan district,2002,,0.0,19.8,19.8,1.1237691679598363,
Shirvan-Salyan economic region,2002,557.0,2875.0,3771.2,896.1999999999998,104.19579256575477,0.02323800615224214
Shirvan city,2002,,0.0,19.0,19.0,1.3117119482928095,
Bilasuvar district,2002,251.0,1277.0,595.5,-681.5,79.01049634452815,-0.0172806833388206
Hajigabul district,2002,,0.0,243.0,243.0,14.15119819154584,
Neftchala district,2002,108.0,556.0,694.7,138.70000000000005,21.713956892124557,0.014198493456781147
Salyan district,2002,198.0,1042.0,2219.0,1177.0,103.31420171187656,0.04516049743720818
Republic of Azerbaijan,2003,59344.0,290439.0,274248.9,-16190.099999999977,5572.840088111541,-0.0025863281535513094
Baku city,2003,6.0,39.0,53.0,14.0,10.375469257765674,-0.003474069133884039
Nakhchivan Autonomous Republic,2003,1468.0,7640.0,14409.3,6769.299999999999,735.8061216635373,-0.01651474743068726
Nakhchivan city,2003,,0.0,148.0,148.0,7.338957290899509,
Babak district,2003,162.0,783.0,1962.0,1179.0,137.5217966913514,-0.0660521501446979
Julfa district,2003,226.0,911.0,617.3,-293.70000000000005,155.5032903678163,-0.09621168874855879
Kangarli district,2003,,102.0,1051.0,949.0,58.03290808715889,
Ordubad district,2003,330.0,1589.0,2345.0,756.0,146.62670115894178,-0.12129621156178805
Sadarak district,2003,20.0,104.0,479.0,375.0,37.94253377892965,0.06758028254617932
Shahbuz district,2003,180.0,870.0,1772.0,902.0,131.51489142552134,-0.10087586348634048
Sharur district,2003,550.0,3281.0,6035.0,2754.0,249.00322665390897,0.004355470746362
Absheron-Khizi economic region,2003,90.0,435.0,152.1,-282.9,24.751547675223073,-0.053319511933663355
Sumgayit city,2003,,0.0,10.0,10.0,5.6556987282364295,
Absheron district,2003,14.0,74.0,39.1,-34.9,6.91828933138296,0.0
Khizi district,2003,76.0,361.0,103.0,-258.0,21.68345224933694,-0.07494546423014625
Daghlig Shirvan economic region,2003,1759.0,7738.0,7264.3,-473.6999999999998,256.8716156728995,0.0028307853042126574
Aghsu district,2003,34.0,161.0,847.3,686.3,56.05012104215815,0.11175096703461929
Ismayilli district,2003,750.0,2919.0,4340.0,1421.0,143.15421906036374,0.03279020582565395
Gobustan district,2003,415.0,2056.0,412.0,-1644.0,169.29931794892445,-0.0665818210104483
Shamakhi district,2003,560.0,2602.0,1665.0,-937.0,144.88673737325533,-0.01479189934724312
Ganja-Dashkasan economic region,2003,2453.0,12673.0,9227.099999999999,-3445.9000000000015,586.7810500574484,-0.03211271378453018
Ganja city,2003,5.0,12.0,19.8,7.800000000000001,6.810964672209207,
Naftalan city,2003,,0.0,14.3,14.3,1.0280676421924175,
Dashkasan district,2003,1128.0,6526.0,4040.5,-2485.5,277.7555610982694,-0.0526930422039904
Goranboy district,2003,257.0,1150.0,1950.9,800.9000000000001,119.94378687897746,0.037441135294205896
Goygol district,2003,866.0,4132.0,2209.5,-1922.5,238.17444187925108,-0.03379460634857323
Samukh district,2003,197.0,853.0,992.1,139.10000000000002,135.8712161319991,-0.007109823015474914
Karabakh economic region,2003,2035.0,8076.0,6014.799999999999,-2061.2000000000007,363.9634416861918,0.004040353335563296
Khankandi city,2003,,0.0,0.0,0.0,,
Aghjabadi district,2003,238.0,1091.0,681.4,-409.6,64.00553135064392,-0.02678765756649304
Aghdam district,2003,393.0,1402.0,1524.0,122.0,127.48409960529946,0.040286730120275616
Aghdara district,2003,,0.0,0.0,0.0,,
Barda district,2003,750.0,2838.0,613.4,-2224.6,183.51265248801892,-0.04377884749988181
Fuzuli district,2003,221.0,876.0,765.0,-111.0,39.54624883729744,0.026464735352740965
Khojaly district,2003,30.0,91.0,372.0,281.0,57.15467734890245,
Khojavand district,2003,,40.0,108.8,68.8,11.635140361339445,
Shusha district,2003,21.0,42.0,17.7,-24.3,8.744576550503691,
